Sex,Age,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason,Guardian,Travel_Time,Study_Time,School_Support,Family_Support,Paid_Classes,Activities,Nursery,Higher_Education,Internet_Access,Romantic_Relationship,Family_Relationship,Free_Time,Go_Out,Workday_Alcohol_Consumption,Weekend_Alcohol_Consumption,Health_Status,Absences,First_Semester_Grade,Second_Semester_Grade,Total_Alcohol_Consumption,Average_Grade,Study_Efficiency
F,1.0536164921749518,GT3,A,4,4,0,4,0,1,0.7671307091283736,0.27164877781151714,1,no,no,no,yes,yes,no,no,4,3,4,-0.5874201557726759,-0.9976946599159401,3,0.2447063416964431,-0.03536808348667964,-0.23670004934022212,-1.5851148156886161,-0.1360340664134509,0.354110159558296
F,0.2199776179830132,GT3,T,1,1,0,2,0,0,-0.7940585656173843,0.27164877781151714,0,yes,no,no,no,yes,yes,no,5,3,3,-0.5874201557726759,-0.9976946599159401,3,-0.3264134272907268,-0.9595059702415328,-0.23670004934022212,-1.5851148156886161,-0.5981030097908775,-0.3421016906987319
F,-1.447300130400864,LE3,T,1,1,0,2,2,1,-0.7940585656173843,0.27164877781151714,1,no,no,no,yes,yes,yes,no,4,3,2,1.1139279916250355,0.5606779857770687,3,0.815826110683613,0.23747734428276035,0.589757753932335,1.6746059774021043,0.41361754910754767,-0.3421016906987319
F,-0.6136612562089254,GT3,T,3,3,2,2,1,0,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,no,no,4,3,2,-0.5874201557726759,-0.2185083370694357,5,-0.8975331962778967,-0.16151709389200405,0.589757753932335,-0.8059284928421117,0.21412033002016545,-0.3421016906987319
M,-0.6136612562089254,LE3,T,4,3,3,2,3,1,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,5,4,2,-0.5874201557726759,-0.2185083370694357,5,0.815826110683613,0.23747734428276035,0.17652885229605644,-0.8059284928421117,0.20700309828940838,-0.3421016906987319
M,-0.6136612562089254,LE3,T,2,2,2,2,1,1,-0.7940585656173843,0.27164877781151714,0,no,no,no,yes,yes,yes,no,4,4,4,-0.5874201557726759,-0.9976946599159401,3,-0.8975331962778967,0.6364717824575248,0.17652885229605644,-1.5851148156886161,0.4065003173767906,-0.3421016906987319
F,0.2199776179830132,GT3,A,4,4,2,4,1,1,0.7671307091283736,0.27164877781151714,1,yes,no,no,yes,yes,no,no,4,1,4,-0.5874201557726759,-0.9976946599159401,1,-0.3264134272907268,-0.5605115320667684,0.589757753932335,-1.5851148156886161,0.01462311093278329,0.354110159558296
M,-1.447300130400864,LE3,A,3,2,3,2,1,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,yes,no,4,2,2,-0.5874201557726759,-0.9976946599159401,1,-0.8975331962778967,1.4344606588070536,1.8294444588411707,-1.5851148156886161,1.6319525588241122,-0.3421016906987319
M,-1.447300130400864,GT3,T,3,4,2,2,1,1,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,5,5,1,-0.5874201557726759,-0.9976946599159401,5,-0.8975331962778967,0.23747734428276035,0.17652885229605644,-1.5851148156886161,0.20700309828940838,-0.3421016906987319
F,-1.447300130400864,GT3,T,4,4,4,1,3,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,yes,no,3,3,3,-0.5874201557726759,-0.2185083370694357,2,-0.3264134272907268,1.035466220632289,1.0029866555686135,-0.8059284928421117,1.0192264381004512,-0.3421016906987319
